Cities,MeanLength,StdLength,MeanTime,StdTime
10,283.84,0.0,0.4635,0.0061
20,389.672,10.507,0.659,0.0172
30,452.801,16.383,0.9062,0.1073
40,540.523,14.645,1.1892,0.0359
50,627.418,21.291,1.5457,0.0983
